Source_ID,RA,Dec,G,BpRp
6.68002E+16,56.5236,24.6122,15.0648,2.4616
6.99181E+16,56.2722,25.4862,15.0649,2.452
6.52116E+16,56.6817,23.9949,15.068,2.3863
6.68022E+16,56.3195,24.5755,15.0822,2.546
6.4446E+16,55.2294,22.3495,15.09,2.4965
6.65978E+16,58.4207,24.4192,15.0934,2.4002
5.17616E+16,59.019,21.545,15.0937,2.8862
6.40782E+16,58.0233,22.5819,15.0994,2.5075
6.73688E+16,57.8287,26.0523,15.1005,2.495
6.83177E+16,55.7907,24.6923,15.114,2.633
6.48951E+16,57.0244,23.034,15.134,2.516
6.82967E+16,55.9322,24.4875,15.1475,2.5051
6.92943E+16,53.9836,25.3664,15.1542,2.502
6.64527E+16,57.4931,23.7092,15.1602,2.4876
6.98581E+16,56.7699,25.3804,15.1614,2.8249
6.67619E+16,57.4825,24.7419,15.1738,2.5508
6.52896E+16,56.0414,24.2676,15.1752,2.5291
6.83482E+16,55.1009,24.5843,15.1771,2.4608
6.52705E+16,56.3173,24.121,15.1788,2.4735
6.38846E+16,58.2374,22.4335,15.1894,2.5229
6.36773E+16,58.1025,21.5061,15.1997,2.5986
7.04049E+16,58.0509,26.369,15.2436,2.8241
6.8292E+16,55.5138,24.5369,15.2524,2.5035
6.49168E+16,57.2429,23.094,15.2621,2.5176
6.83786E+16,55.6195,25.0166,15.2655,2.53
6.98593E+16,56.4888,25.1867,15.2656,2.7637
6.54345E+16,59.0434,23.0398,15.2665,2.4824
6.82656E+16,55.512,24.2099,15.2684,2.5375
6.68044E+16,56.4031,24.6517,15.302,2.9066
6.46428E+16,55.3556,22.5487,15.3038,2.5549
6.68075E+16,56.5748,24.6858,15.3065,2.5445
6.85301E+16,53.9571,25.0799,15.3214,2.5127
6.62802E+16,59.7764,25.0554,15.3469,2.7315
6.99044E+16,55.9056,25.4088,15.347,2.5985
6.67491E+16,57.3877,24.5338,15.3597,2.5901
6.52129E+16,56.7884,24.052,15.381,2.5782
6.51676E+16,56.1513,23.5029,15.3813,2.6189
6.68678E+16,57.8496,25.0978,15.3819,2.5497
6.52128E+16,56.8557,24.049,15.3902,2.4971
6.41745E+16,57.6622,23.2172,15.3923,2.5683
6.68206E+16,56.9086,24.8196,15.3938,2.5778
6.52934E+16,56.074,24.4462,15.395,2.6235
6.56054E+16,58.2924,23.0528,15.3957,2.5859
6.68782E+16,57.6249,25.0517,15.398,2.5592
6.73689E+16,57.8508,26.053,15.4095,2.6246
6.56744E+16,57.9632,23.2946,15.411,2.6312
6.68476E+16,56.8576,25.1423,15.4245,2.9366
6.83089E+16,56.1067,24.6812,15.432,2.7471
6.66494E+16,58.1289,24.5442,15.4355,2.8776
6.65363E+16,57.7393,24.1084,15.4393,2.5499
6.52827E+16,56.4082,24.3341,15.4462,1.4796
6.54194E+16,59.397,22.9854,15.4536,2.6708
7.141E+16,55.0695,27.9226,15.4561,2.6442
6.56432E+16,58.5543,23.3473,15.4598,2.6172
6.69695E+16,57.736,25.5849,15.4619,2.8506
6.68311E+16,57.1757,25.0077,15.4726,2.6695
6.68473E+16,56.8138,25.1152,15.4951,2.803
